source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0070062,extracellular exosome,1.138563827497116e-27,True,"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]",2111,194,78,22149,0.4020618556701031,0.03694931312174325,query_1,"['GO:0005615', 'GO:1903561']"
GO:CC,GO:1903561,extracellular vesicle,2.942982871088198e-27,True,"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]",2141,194,78,22149,0.4020618556701031,0.03643157403082672,query_1,"['GO:0031982', 'GO:0065010']"
GO:CC,GO:0043230,extracellular organelle,3.036782234676313e-27,True,"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]",2142,194,78,22149,0.4020618556701031,0.036414565826330535,query_1,"['GO:0005576', 'GO:0043226']"
GO:CC,GO:0065010,extracellular membrane-bounded organelle,3.036782234676313e-27,True,"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]",2142,194,78,22149,0.4020618556701031,0.036414565826330535,query_1,"['GO:0043227', 'GO:0043230']"
GO:CC,GO:0005739,mitochondrion,1.853286171382569e-19,True,"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]",1844,194,63,22149,0.3247422680412371,0.034164859002169194,query_1,"['GO:0005737', 'GO:0043231']"
GO:BP,GO:0006119,oxidative phosphorylation,7.166398350095133e-19,True,"""The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis."" [ISBN:0198506732, ISBN:0471331309]",146,190,23,21026,0.12105263157894737,0.15753424657534246,query_1,['GO:0009060']
KEGG,KEGG:05208,Chemical carcinogenesis - reactive oxygen species,9.580890171553663e-19,True,Chemical carcinogenesis - reactive oxygen species,221,119,29,8484,0.24369747899159663,0.13122171945701358,query_1,['KEGG:00000']
GO:BP,GO:1902600,proton transmembrane transport,1.0136344388638292e-18,True,"""The directed movement of a proton across a membrane."" [GO_REF:0000069, GOC:pr, GOC:TermGenie]",190,190,25,21026,0.13157894736842105,0.13157894736842105,query_1,"['GO:0098655', 'GO:0098662']"
GO:CC,GO:0005615,extracellular space,2.5903872714722374e-18,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",3315,194,83,22149,0.42783505154639173,0.02503770739064857,query_1,"['GO:0005576', 'GO:0110165']"
GO:CC,GO:0031982,vesicle,3.3015509863020223e-18,True,"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]",4033,194,92,22149,0.4742268041237113,0.02281180262831639,query_1,['GO:0043227']
GO:CC,GO:0005740,mitochondrial envelope,7.701205536917636e-18,True,"""The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."" [GOC:ai, GOC:pz]",840,194,42,22149,0.21649484536082475,0.05,query_1,"['GO:0005739', 'GO:0031967']"
GO:CC,GO:0098803,respiratory chain complex,1.1662462297928606e-17,True,"""Any protein complex that is part of a respiratory chain."" [GOC:dos]",102,194,19,22149,0.0979381443298969,0.18627450980392157,query_1,['GO:0032991']
GO:BP,GO:0045333,cellular respiration,2.7734074061670238e-17,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration)."" [GOC:das, ISBN:0140513590, ISBN:0198506732]",242,190,26,21026,0.1368421052631579,0.10743801652892562,query_1,['GO:0015980']
KEGG,KEGG:00190,Oxidative phosphorylation,3.136390078648501e-17,True,Oxidative phosphorylation,134,119,23,8484,0.19327731092436976,0.17164179104477612,query_1,['KEGG:00000']
GO:BP,GO:0009060,aerobic respiration,5.803518686822503e-17,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor."" [GOC:das, GOC:jl, ISBN:0140513590]",199,190,24,21026,0.12631578947368421,0.12060301507537688,query_1,['GO:0045333']
GO:BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,6.675546704891388e-17,True,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP, as it occurs in the mitochondrial inner membrane or chloroplast thylakoid membrane."" [GOC:mtg_sensu, ISBN:0716731363]",99,190,19,21026,0.1,0.1919191919191919,query_1,['GO:0042773']
